RandomScore,PlanScore,MCScore,,,r,p,m
2.654545455,0,2.5625,,,,,
2.678571429,2.32,2.577319588,,,,,
2.701754386,0.03,2.591836735,,,,,
2.724137931,0.14,2.606060606,,,,,
2.745762712,1.98,2.62,,,,,
2.766666667,0.04,2.1,,,,,
2.786885246,0,2.146341463,,,,,
2.806451613,0.12,2.19047619,,,,,
2.825396825,1.48,2.23255814,,,,,
2.84375,0,2.272727273,,,,,
2.861538462,1.87,2.311111111,,,,,
2.878787879,2,2.347826087,,,,,
2.895522388,2.029411765,2.382978723,,,,,
2.911764706,2.057971014,2.416666667,,,,,
2.927536232,2.085714286,2.448979592,,,,,
2.942857143,2.112676056,2.48,,,,,
2.957746479,2.138888889,2.509803922,,,,,
2.972222222,2.164383562,2.538461538,,,,,
2.98630137,2.189189189,2.566037736,,,,,
3,2.213333333,2.592592593,,,,,
3.013333333,2.236842105,2.618181818,,,,,
3.026315789,2.25974026,2.642857143,,,,,
3.038961039,2.282051282,2.666666667,,,,,
3.051282051,2.303797468,2.689655172,,,,,
3.063291139,2.325,2.711864407,,,,,
3.075,2.345679012,2.733333333,,,,,
3.086419753,2.365853659,2.754098361,,,,,
3.097560976,2.385542169,2.774193548,,,,,
3.108433735,2.404761905,2.793650794,,,,,
3.119047619,2.423529412,2.8125,,,,,
3.129411765,2.441860465,2.830769231,,,,,
3.139534884,2.459770115,2.848484848,,,,,
3.149425287,2.477272727,2.865671642,,,,,
3.159090909,2.494382022,2.882352941,,,,,
3.168539326,2.511111111,2.898550725,,,,,
3.177777778,2.527472527,2.914285714,,,,,
3.186813187,2.543478261,2.929577465,,,,,
3.195652174,2.559139785,2.944444444,,,,,
3.204301075,2.574468085,2.95890411,,,,,
3.212765957,2.589473684,2.972972973,,,,,
3.221052632,2.604166667,2.986666667,,,,,
3.229166667,2.618556701,3,,,,,
3.237113402,2.632653061,3.012987013,,,,,
3.244897959,2.646464646,3.025641026,,,,,
3.252525253,2.66,3.037974684,,,,,
3.26,0.02,3.05,,,,,
0.17,0,3.061728395,,,,,
0,0.07,3.073170732,,,,,
1.09,0.04,3.084337349,,,,,
0.06,0.09,3.095238095,,,,,
0,0.23,3.105882353,,,,,
1.03,0,3.11627907,,,,,
0.66,2.9,3.126436782,,,,,
0,1.26,3.136363636,,,,,
0.02,1.4,3.146067416,,,,,
1.333333333,2.51,3.155555556,,,,,
1.364705882,1.6,3.164835165,,,,,
1.395348837,0.15,3.173913043,,,,,
1.425287356,0,3.182795699,,,,,
1.454545455,1.98,3.191489362,,,,,
1.483146067,0.04,3.2,,,,,
